Mapping ID,Framework,Requirement/Reference,Risk ID,Control ID,Requirement Summary,Evidence,Status,Gap,Recommendation,Owner,Priority,Source/Reference
CM-001,NIST CSF 2.0,GV.OC,R-011;R-014,C-001,Organizational context and stakeholders,"14 clinics in three cities; cloud EHR migration and stakeholders described",Partially Addressed,"Security ownership and decision rights are not formalized",Approve GRC ownership RACI and go-live risk acceptance route,Team Lead / COO,High,Resource Pack §2 and §3.1
CM-002,NIST CSF 2.0,GV.RM,R-001;R-003;R-005,C-002,Risk management strategy,"No prior risk assessment or security function exists",Not Addressed,"No formal risk methodology owner or risk acceptance record is described",Approve this risk method and make pre-go-live risk review mandatory,Team Lead,High,Resource Pack §2
CM-003,NIST CSF 2.0,GV.SC,R-007;R-008;R-011;R-015,C-003,Supplier and third-party risk management,"No vendor risk assessment or security addendum for ClinicCloud clearinghouse or reminder service",Not Addressed,"Supplier due diligence security terms breach SLA and right-to-audit are missing",Complete supplier reviews and contractual security addenda before go-live,COO / Procurement,Critical,Resource Pack §3.4 and §3.5
CM-004,NIST CSF 2.0,ID.AM,R-002;R-004;R-005,C-004,Asset management,"Design identifies clinics laptops systems data stores integrations and migration folder",Partially Addressed,"Inventory is not yet owned baselined or linked to access and lifecycle records",Approve the asset inventory and maintain owners classification and lifecycle state,Team Lead,High,Resource Pack §3.1–§3.3
CM-005,NIST CSF 2.0,ID.RA,R-001;R-003;R-009,C-005,Risk assessment,"Design flags MFA segmentation logging backup and contract open items",Partially Addressed,"Threat and risk analysis was not present before this project",Maintain the risk register and reassess after control testing,Risk Analyst,High,Resource Pack §3.5
CM-006,NIST CSF 2.0,ID.IM,R-010;R-014,C-006,Continuous improvement,"Pre-implementation project has no incident or recovery improvement cycle",Not Addressed,"No lessons-learned exercise or control-review cadence is documented",Set quarterly control review and post-incident improvement process,Team Lead,Medium,Resource Pack §3.4
CM-007,NIST CSF 2.0,PR.AA-03,R-001;R-013,C-007,Identity management,"Single username/password per staff member; MFA available but not enabled",Partially Addressed,"Identity proofing MFA enforcement lockout and lifecycle are not defined",Enable MFA and document identity lifecycle and account recovery,Compliance Officer,Critical,Resource Pack §3.1 and §3.5
CM-008,NIST CSF 2.0,PR.AA-05,R-003;R-015,C-008,Permissions and authorizations,"Two roles exist; no clinic-level distinction and no offboarding process",Partially Addressed,"Least privilege and timely removal are not demonstrated",Implement clinic-level authorization quarterly review expiry and offboarding,Control Owner / Auditor,Critical,Resource Pack §3.1 and §3.4
CM-009,NIST CSF 2.0,PR.DS-01,R-008;R-016,C-009,Data-at-rest protection,"Vendor says data is encrypted; algorithm key ownership rotation and backup encryption are unspecified",Partially Addressed,"The design cannot verify encryption scope or key governance",Obtain vendor cryptography and key-management evidence and test backup protection,ClinicCloud Vendor,High,Resource Pack §3.4
CM-010,NIST CSF 2.0,PR.DS-02,R-005;R-007,C-010,Data-in-transit protection,"TLS 1.2 is stated for documented connections",Partially Addressed,"Coverage certificate management and CSV handling controls are not fully documented",Verify TLS configuration and require protected file handling with integrity checks,Control Owner / Auditor,High,Resource Pack §3.2 and §3.4
CM-011,NIST CSF 2.0,PR.PS-01,R-004;R-012,C-011,Configuration management,"Windows laptops are existing and patch status is unknown/unmanaged; remote tool TBD",Not Addressed,"No secure baseline software inventory or remote-support configuration is defined",Baseline and manage endpoints and select an approved remote-support configuration,Control Owner / Auditor,Critical,Resource Pack §3.1 and §3.5
CM-012,NIST CSF 2.0,PR.PS-02,R-004,C-012,Software maintenance,"Average laptop age is approximately four years and patch status is unknown",Not Addressed,"Patch cadence supported versions and exception handling are absent",Set patch SLA and evidence compliance before endpoints access ClinicCloud,Control Owner / Auditor,High,Resource Pack §3.1
CM-013,NIST CSF 2.0,DE.CM-03,R-009;R-013,C-013,Personnel activity and technology usage monitoring,"No MedCore-side logging or monitoring; vendor logs are not accessible to MedCore",Not Addressed,"Unauthorized use may not be detected or investigated in time",Contract for audit-log access retention alerting and review,Control Owner / Auditor,Critical,Resource Pack §3.4
CM-014,NIST CSF 2.0,DE.CM-06,R-007;R-011;R-015,C-014,External service provider activity monitoring,"Clearinghouse reminder service migration team and helpdesk contractor are named dependencies",Not Addressed,"Provider activity monitoring and access review are not designed",Require provider logs access attestations and periodic service reviews,COO / Procurement,High,Resource Pack §3.2 and §3.4
CM-015,NIST CSF 2.0,RS.MA-01,R-010;R-012,C-015,Incident management,"No incident-response plan or breach-notification procedure exists",Not Addressed,"Roles triage evidence handling containment and notification triggers are missing",Approve and exercise an incident-response and breach-notification plan,Team Lead / Compliance Officer,Critical,Resource Pack §2 and §3.4
CM-016,NIST CSF 2.0,RC.RP-01,R-008;R-014,C-016,Recovery plan execution,"Nightly backup is planned but region encryption recovery objectives and restore evidence are unspecified",Partially Addressed,"A backup intention exists but recoverability and downtime procedures are not evidenced",Define RTO/RPO validate restores and document downtime procedures,Control Owner / Auditor,High,Resource Pack §3.2 and §3.4
