Control ID,Risk ID,Control Name,Control Type,Control Objective,Control Description,Control Owner,Design Effectiveness,Operating Effectiveness,Evidence Required,Evidence Available,Gap,Status,Framework Reference
C-001,R-001;R-003;R-013,MFA and identity lifecycle,Preventive,Prevent account takeover and orphaned identities,"Enable MFA, define joiner/mover/leaver workflow, recovery, lockout, and privileged authentication",Compliance Officer,Partial,Not tested,"MFA configuration, account lifecycle records, recovery test",None,"MFA is available but not enabled and lifecycle is undefined",Open,PR.AA-03
C-002,R-003;R-015,Clinic-level least privilege,Preventive,Limit access to necessary patients,"Design clinic-level authorization, quarterly review, expiry, and offboarding",Control Owner / Auditor,Partial,Not tested,"Authorization design, access review, termination checklist",None,"No clinic-level segmentation or offboarding process",Open,PR.AA-05
C-003,R-007;R-008;R-011;R-015,Third-party risk and contract security,Administrative,Set assurance and breach obligations,"Complete supplier due diligence and security addenda for ClinicCloud clearinghouse and reminder service",COO / Procurement,None,Not tested,"Due diligence, assurance report, security addendum, SLA",Vendor ISO claim only,"No vendor risk assessment or security terms",Open,GV.SC
C-004,R-002;R-004;R-005,Asset inventory and data classification,Administrative,Track assets owners classifications and lifecycle,"Maintain approved inventory covering systems endpoints data stores interfaces and temporary files",Team Lead,Partial,Not tested,"Approved inventory and owner attestations",Project inventory,"Operational inventory and lifecycle process not established",Open,ID.AM
C-005,R-001;R-003;R-005,Design risk assessment,Administrative,Identify and prioritize architecture-specific threats,"Maintain threat model risk register and 5x5 matrix with source traceability",Risk Analyst,Implemented as project artifact,Not tested,"Threat model, risk register, matrix",Project artifacts,"Post-implementation reassessment is still required",Open,ID.RA
C-006,R-010;R-014,Improvement and exercise cycle,Administrative,Use exercises and incidents to improve controls,"Schedule quarterly control review and post-incident lessons learned",Team Lead,None,Not tested,"Review plan, exercise reports, action tracker",None,"No improvement cadence documented",Open,ID.IM
C-007,R-008;R-016,Encryption and key-management verification,Preventive,Protect data and backups at rest,"Verify algorithm, key ownership, rotation, backup encryption, and region",ClinicCloud Vendor,Partial,Not tested,"Cryptography statement, key-management evidence, backup settings",Marketing statement only,"Scope and key governance unspecified",Open,PR.DS-01
C-008,R-005;R-007,Protected transfers and APIs,Preventive,Protect confidentiality and integrity in transit,"Verify TLS coverage, API authentication, file encryption, checksum, and allowlists",Control Owner / Auditor,Partial,Not tested,"TLS configuration, API design, encrypted file and checksum records",TLS 1.2 stated,"CSV and API governance incomplete",Open,PR.DS-02
C-009,R-004;R-012,Managed endpoint and remote-support baseline,Preventive,Reduce endpoint compromise and contractor abuse,"Baseline devices, select approved tool, require MFA, approval, recording, and least privilege",Control Owner / Auditor,None,Not tested,"Device baseline, remote-tool configuration, session logs",None,"Patch and remote tool status unknown/TBD",Open,PR.PS-01
C-010,R-004,Patch and software maintenance,Preventive,Keep clinic devices supported and patched,"Set patch SLA, supported versions, compliance reports, and exceptions",Control Owner / Auditor,None,Not tested,"Patch reports, exception register, supported-version list",None,"Patch status is unknown/unmanaged",Open,PR.PS-02
C-011,R-009;R-013,Audit logging and monitoring,Detective,Detect unauthorized use and support investigation,"Contract for log export, retention, alerting, and review of privileged and patient access",Control Owner / Auditor,None,Not tested,"Log export, retention setting, alert rules, review tickets",Vendor logs may exist,"MedCore has no designed access to logs",Open,DE.CM-03
C-012,R-007;R-011;R-015,External provider activity oversight,Detective,Review supplier activity and access,"Obtain provider logs and access attestations with periodic service reviews",COO / Procurement,None,Not tested,"Provider logs, attestations, review minutes",None,"Provider monitoring not designed",Open,DE.CM-06
C-013,R-010;R-012,Incident response and breach notification,Respond,Contain incidents and meet notification duties,"Approve response plan, contacts, evidence handling, decision points, and exercises",Team Lead / Compliance Officer,None,Not tested,"IR plan, contact list, exercise, notification record",None,"No response or notification process exists",Open,RS.MA-01 / RS.CO-02
C-014,R-008;R-014,Backup recovery and downtime procedures,Recover,Restore critical services and data,"Define RTO/RPO, verify restore, document vendor commitments and downtime runbook",Control Owner / Auditor,Partial,Not tested,"RTO/RPO approval, restore test, downtime runbook",Nightly backup planned,"Region, encryption, and recovery evidence unspecified",Open,RC.RP-01
C-015,R-011;R-014,Security governance and risk acceptance,Administrative,Assign decision rights and approve residual risk,"Establish RACI, risk acceptance route, go-live gate, and executive review",COO / Team Lead,None,Not tested,"Approved RACI, risk acceptance record, review minutes",None,"Security ownership and acceptance route not formalized",Open,GV.OC / GV.RM
C-016,R-005;R-006;R-016,Migration chain of custody and reconciliation,Administrative,Protect CSV confidentiality and record integrity,"Restrict access, checksum files, reconcile imports, dual-approve, and securely delete exports",Team Lead / Vendor Migration Team,None,Not tested,"Migration runbook, checksums, reconciliation, disposal approval",None,"CSV lifecycle, validation, and disposal are not defined",Open,PR.DS-01 / PR.PS-01
