Risk ID,Asset ID,Threat ID,Risk Statement,Likelihood (1-5),Impact (1-5),Risk Score,Risk Level,Risk Owner,Existing Controls,Treatment,Target Residual Risk,Due Date,Status,Source/Evidence
R-001,A-003;A-001,T-001,"A credential-stuffing attacker may use the single-factor staff login design to gain unauthorized access to ClinicCloud and patient records.",4,5,20,Critical,Compliance Officer,"Username/password authentication; TLS 1.2 in transit",Mitigate,"Enable MFA, enforce phishing-resistant authentication for privileged users, and monitor sign-in anomalies; Medium",Before go-live,Open - design,Resource Pack §3.1 authentication; §3.5 MFA open item
R-002,A-004;A-005,T-002,"A thief may use a stolen clinic laptop or active browser session because endpoint management and session protections are not defined, exposing ClinicCloud records.",4,5,20,Critical,Control Owner / Auditor,"Clinic-owned Windows laptops; Chrome browser; vendor roles",Mitigate,"Require device baseline, full-disk encryption, screen lock, remote wipe, and short session timeout; Medium",Before go-live,Open - design,Resource Pack §3.1 devices; §3.4 no endpoint control stated
R-003,A-001;A-015,T-003,"A malicious or curious clinician may view patients from another clinic because ClinicCloud roles do not yet enforce clinic-level segmentation.",4,5,20,Critical,Compliance Officer,"Clinician and Front Desk roles exist; no location distinction",Mitigate,"Design and test clinic-level tenant or row-level access restrictions and quarterly access reviews; Medium",Before go-live,Open - design,Resource Pack §3.1 roles and §3.5 clinic-level segmentation open item
R-004,A-004;A-005,T-004,"Malware on an unmanaged, aging Windows laptop may steal credentials or disrupt access to ClinicCloud because patch status is unknown.",4,4,16,Critical,Control Owner / Auditor,"HTTPS connection to vendor application",Mitigate,"Deploy supported endpoint protection, patch compliance, least privilege, and browser hardening before access; High",Before go-live,Open - design,Resource Pack §3.1 devices; §3.4 no network segmentation
R-005,A-010;A-015,T-005,"An unauthorized party may access legacy CSV exports in the shared migration folder because retention, disposal, access ownership, and post-import removal are not defined.",4,5,20,Critical,Team Lead / Vendor Migration Team,"HTTPS upload to vendor-provided folder; one-time bulk import",Mitigate,"Encrypt files before transfer, restrict folder access, log downloads, validate import, and securely delete exports after sign-off; Medium",Before go-live,Open - design,Resource Pack §3.2 migration flow; §3.3 CSV classification; §3.5 retention open item
R-006,A-011;A-015,T-006,"A migration operator or process error may corrupt or mis-map patient records during the one-time bulk import because validation, reconciliation, and segregation of duties are not specified.",3,4,12,High,Team Lead / Vendor Migration Team,"Vendor migration team and bulk import pipeline are planned",Mitigate,"Use a controlled migration runbook, checksums, reconciliation totals, sample validation, rollback copy, and dual approval; Medium",Before go-live,Open - design,Resource Pack §3.1 data migration; §3.2 migration pipeline
R-007,A-007;A-008;A-015,T-007,"A compromised or misconfigured third-party integration may disclose patient or billing data because clearinghouse and reminder-service data sharing is not covered by a security addendum or minimization review.",3,4,12,High,Billing & Revenue Cycle Manager,"HTTPS APIs; vendor-stated TLS 1.2",Mitigate,"Document data minimization, API authentication, allowlists, contract terms, and periodic integration reviews; Medium",Before go-live,Open - design,Resource Pack §3.2 integrations; §3.4 vendor contract gap
R-008,A-012;A-015,T-008,"A vendor compromise or regional outage may expose or make unavailable nightly backups because encryption, key ownership, and backup region are unspecified.",3,5,15,High,ClinicCloud Vendor,"Automated nightly backup is planned; encryption status unconfirmed",Transfer,"Make backup encryption, region, restore testing, and notification commitments contractual and verify restore evidence; Medium",Before go-live,Open - design,Resource Pack §3.2 backup flow; §3.4 encryption and region open item
R-009,A-014;A-015,T-009,"An attacker or insider may access records without timely detection because audit logs remain inside ClinicCloud and MedCore has not designed access to them.",4,4,16,Critical,Control Owner / Auditor,"Possible vendor-platform logs; no MedCore access or monitoring",Mitigate,"Contract for log export, define alerting and retention, and review privileged and patient-record access; Medium",Before go-live,Open - design,Resource Pack §3.4 logging and monitoring gap
R-010,A-015;A-016,T-010,"MedCore may fail to contain and notify a breach within required timelines because no incident-response or breach-notification procedure exists.",3,5,15,High,Team Lead / Compliance Officer,"No incident-response plan stated",Mitigate,"Approve an incident-response plan with vendor contacts, evidence handling, decision points, notification roles, and exercises; Medium",Before go-live,Open - design,Resource Pack §3.4 incident-response gap; regulatory context §2
