Threat ID,Asset ID,Threat,Threat Actor,Attack Vector,Vulnerability/Weakness,Attack Scenario,Potential Impact,Existing Control,Related Risk IDs,Priority,Source/Reference
T-001,A-003;A-001,Credential stuffing,External attacker,Public login over internet,No MFA enabled and weak password baseline,Attacker reuses leaked passwords against staff accounts and enters ClinicCloud,Unauthorized PHI access and regulatory exposure,Username/password and TLS 1.2,R-001;R-013,Critical,Resource Pack §3.1 and §3.4
T-002,A-004;A-005,Stolen device or session,Opportunistic thief,Physical theft followed by browser access,Endpoint management and session controls not designed,Stolen laptop retains access or cached session to ClinicCloud,Patient-data disclosure and loss of endpoint,Clinic-owned Windows laptops and Chrome,R-002,High,Resource Pack §3.1
T-003,A-001;A-015,Unauthorized cross-clinic access,Malicious or curious insider,Legitimate clinician role,No clinic-level access segmentation,Clinician at one site queries patients at another site,Minimum-necessary violation and broad PHI exposure,Two coarse roles only,R-003,High,Resource Pack §3.1 and §3.5
T-004,A-004;A-005,Endpoint malware,External attacker or malware operator,Phishing or drive-by download,Unknown unmanaged patch status,Malware steals credentials or disrupts browser workstation,Unauthorized access and care disruption,HTTPS only,R-004,High,Resource Pack §3.1
T-005,A-010;A-015,Migration-folder disclosure,Insider or compromised vendor account,Shared-folder download or link abuse,Retention and access rules not defined,Attacker downloads legacy CSVs pending import,Large PHI/PII breach,HTTPS upload only,R-005;R-016,Critical,Resource Pack §3.2 §3.3 §3.5
T-006,A-011;A-015,Migration integrity failure,Careless or compromised migration operator,Bulk CSV import,No reconciliation or dual approval described,Incorrect mapping or altered records enter the EHR,Clinical and legal record integrity impact,Vendor migration pipeline,R-006,High,Resource Pack §3.1 and §3.2
T-007,A-007;A-008;A-015,Third-party API exposure,Compromised vendor or misconfiguration,API data exchange,No minimization review or security addendum,Claims or reminder data is sent beyond intended use,Confidential data disclosure and compliance exposure,HTTPS APIs,R-007,High,Resource Pack §3.2 §3.3 §3.4
T-008,A-012;A-015,Backup compromise or loss,Compromised vendor or outage,Backup storage access,Encryption and region unspecified,Backups are exposed or unavailable during recovery,Large-scale data loss or prolonged outage,Nightly backup planned,R-008,High,Resource Pack §3.2 and §3.4
T-009,A-014;A-015,Undetected access,Insider or external attacker,Use of valid credentials,No MedCore access to audit logs,Unauthorized record access continues without alerting,Delayed containment and breach notification,Vendor logs may exist,R-009,Critical,Resource Pack §3.4
T-010,A-015;A-016,Breach-response failure,Any incident actor,Incident escalates after compromise,No incident response or notification procedure,Teams cannot contain, preserve evidence, or notify,Regulatory and reputational impact,None stated,R-010,High,Resource Pack §2 and §3.4
T-011,A-001;A-007;A-008;A-012,Supplier control failure,Compromised or careless vendor,Third-party service dependency,No vendor risk assessment or security addendum,Vendor weakness exposes MedCore data,Concentrated systemic impact,Vendor ISO claim not verified,R-011,Critical,Resource Pack §3.4
T-012,A-013;A-004,Remote-support compromise,Compromised contractor or tool,Remote-access session,Tool and approval model TBD,Contractor session reaches workstation fleet,Endpoint compromise across clinics,Remote access planned but unspecified,R-012,High,Resource Pack §3.2 and §3.5
T-013,A-003,Password spraying,External attacker,Public authentication endpoint,8-character default and no confirmed complexity or rotation,Attacker systematically tests common passwords,Account takeover and PHI disclosure,Vendor default only,R-013,High,Resource Pack §3.4
T-014,A-001;A-006,SaaS or internet outage,Cloud provider or network failure,Public internet dependency,Single external access path and no alternate link,Clinics cannot reach EHR or scheduling,Clinical and operational disruption,TLS 1.2 and nightly backup,R-014,High,Resource Pack §3.1 and §3.2
T-015,A-010;A-007;A-008,Orphaned third-party access,Former contractor or service account,Post-migration or post-integration access,No offboarding process,Access remains after task completion,Unauthorized data access,No offboarding control stated,R-015,Critical,Resource Pack §3.4
T-016,A-009;A-010;A-015,CSV copying or tampering,Insider or compromised workstation,Local export and shared upload,CSV lifecycle and integrity checks not defined,Extra copies are made or records are altered in transit,Confidentiality and integrity loss,HTTPS upload planned,R-016,High,Resource Pack §3.2 and §3.3
